Invoice ID,Customer ID,Product line,Unit price,Quantity,Tax 5%,Total,cogs,gross margin percentage,gross income,Rating
300-71-4605,21,Potatoes,86.04,5,21.51,451.71,430.2,4.761904762,21.51,4.8
371-85-5789,22,Potatoes,87.98,3,13.197,277.137,263.94,4.761904762,13.197,5.1
273-16-6619,23,Potatoes,33.2,2,3.32,69.72,66.4,4.761904762,3.32,4.4
636-48-8204,24,Potatoes,34.56,5,8.64,181.44,172.8,4.761904762,8.64,9.9
549-59-1358,25,Potatoes,88.63,3,13.2945,279.1845,265.89,4.761904762,13.2945,6
227-03-5010,26,Potatoes,52.59,8,21.036,441.756,420.72,4.761904762,21.036,8.5
649-29-6775,27,Potatoes,33.52,1,1.676,35.196,33.52,4.761904762,1.676,6.7
189-17-4241,28,Potatoes,87.67,2,8.767,184.107,175.34,4.761904762,8.767,7.7
145-94-9061,29,Potatoes,88.36,5,22.09,463.89,441.8,4.761904762,22.09,9.6
848-62-7243,30,Potatoes,24.89,9,11.2005,235.2105,224.01,4.761904762,11.2005,7.4
871-79-8483,31,Potatoes,94.13,5,23.5325,494.1825,470.65,4.761904762,23.5325,4.8
149-71-6266,32,Potatoes,78.07,9,35.1315,737.7615,702.63,4.761904762,35.1315,4.5
640-49-2076,33,Potatoes,83.78,8,33.512,703.752,670.24,4.761904762,33.512,5.1
595-11-5460,34,Potatoes,96.58,2,9.658,202.818,193.16,4.761904762,9.658,5.1
183-56-6882,35,Potatoes,99.42,4,19.884,417.564,397.68,4.761904762,19.884,7.5
232-16-2483,36,Potatoes,68.12,1,3.406,71.526,68.12,4.761904762,3.406,6.8
129-29-8530,37,Potatoes,62.62,5,15.655,328.755,313.1,4.761904762,15.655,7
272-65-1806,38,Potatoes,60.88,9,27.396,575.316,547.92,4.761904762,27.396,4.7
333-73-7901,39,Potatoes,54.92,8,21.968,461.328,439.36,4.761904762,21.968,7.6
777-82-7220,40,Potatoes,30.12,8,12.048,253.008,240.96,4.761904762,12.048,7.7
280-35-5823,41,Potatoes,86.72,1,4.336,91.056,86.72,4.761904762,4.336,7.9
554-53-8700,42,Potatoes,56.11,2,5.611,117.831,112.22,4.761904762,5.611,6.3
354-25-5821,43,Potatoes,69.12,6,20.736,435.456,414.72,4.761904762,20.736,5.6
228-96-1411,44,Potatoes,98.7,8,39.48,829.08,789.6,4.761904762,39.48,7.6
617-15-4209,45,Potatoes,15.37,2,1.537,32.277,30.74,4.761904762,1.537,7.2
132-32-9879,46,Potatoes,93.96,4,18.792,394.632,375.84,4.761904762,18.792,9.5
370-41-7321,47,Potatoes,56.69,9,25.5105,535.7205,510.21,4.761904762,25.5105,8.4
727-46-3608,48,Potatoes,20.01,9,9.0045,189.0945,180.09,4.761904762,9.0045,4.1
669-54-1719,49,Potatoes,18.93,6,5.679,119.259,113.58,4.761904762,5.679,8.1
574-22-5561,50,Potatoes,82.63,10,41.315,867.615,826.3,4.761904762,41.315,7.9
326-78-5178,51,Potatoes,91.4,7,31.99,671.79,639.8,4.761904762,31.99,9.5
162-48-8011,52,Potatoes,44.59,5,11.1475,234.0975,222.95,4.761904762,11.1475,8.5
616-24-2851,53,Potatoes,17.87,4,3.574,75.054,71.48,4.761904762,3.574,6.5
778-71-5554,54,Potatoes,15.43,1,0.7715,16.2015,15.43,4.761904762,0.7715,6.1
242-55-6721,55,Potatoes,16.16,2,1.616,33.936,32.32,4.761904762,1.616,6.5
399-46-5918,56,Potatoes,85.98,8,34.392,722.232,687.84,4.761904762,34.392,8.2
106-35-6779,57,Potatoes,44.34,2,4.434,93.114,88.68,4.761904762,4.434,5.8
635-40-6220,58,Potatoes,89.6,8,35.84,752.64,716.8,4.761904762,35.84,6.6
817-48-8732,59,Potatoes,72.35,10,36.175,759.675,723.5,4.761904762,36.175,5.4
120-06-4233,60,Potatoes,30.61,6,9.183,192.843,183.66,4.761904762,9.183,9.3
285-68-5083,61,Potatoes,24.74,3,3.711,77.931,74.22,4.761904762,3.711,10
803-83-5989,62,Potatoes,55.73,6,16.719,351.099,334.38,4.761904762,16.719,7
347-34-2234,63,Potatoes,55.07,9,24.7815,520.4115,495.63,4.761904762,24.7815,10
199-75-8169,64,Potatoes,15.81,10,7.905,166.005,158.1,4.761904762,7.905,8.6
853-23-2453,65,Potatoes,75.74,4,15.148,318.108,302.96,4.761904762,15.148,7.6
877-22-3308,66,Potatoes,15.87,10,7.935,166.635,158.7,4.761904762,7.935,5.8
838-78-4295,67,Potatoes,33.47,2,3.347,70.287,66.94,4.761904762,3.347,6.7
109-28-2512,68,Potatoes,97.61,6,29.283,614.943,585.66,4.761904762,29.283,9.9
232-11-3025,69,Potatoes,78.77,10,39.385,827.085,787.7,4.761904762,39.385,6.4
382-03-4532,70,Potatoes,18.33,1,0.9165,19.2465,18.33,4.761904762,0.9165,4.3
393-65-2792,71,Potatoes,89.48,10,44.74,939.54,894.8,4.761904762,44.74,9.6
796-12-2025,72,Potatoes,62.12,10,31.06,652.26,621.2,4.761904762,31.06,5.9
510-95-6347,73,Potatoes,48.52,3,7.278,152.838,145.56,4.761904762,7.278,4
841-35-6630,74,Potatoes,75.91,6,22.773,478.233,455.46,4.761904762,22.773,8.7
287-21-9091,75,Potatoes,74.67,9,33.6015,705.6315,672.03,4.761904762,33.6015,9.4
732-94-0499,76,Potatoes,41.65,10,20.825,437.325,416.5,4.761904762,20.825,5.4
263-10-3913,77,Potatoes,49.04,9,22.068,463.428,441.36,4.761904762,22.068,8.6
381-20-0914,78,Potatoes,20.01,9,9.0045,189.0945,180.09,4.761904762,9.0045,5.7
829-49-1914,79,Potatoes,78.31,10,39.155,822.255,783.1,4.761904762,39.155,6.6
756-01-7507,80,Potatoes,20.38,5,5.095,106.995,101.9,4.761904762,5.095,6
870-72-4431,81,Potatoes,99.19,6,29.757,624.897,595.14,4.761904762,29.757,5.5
847-38-7188,82,Potatoes,96.68,3,14.502,304.542,290.04,4.761904762,14.502,6.4
480-63-2856,83,Potatoes,19.25,8,7.7,161.7,154,4.761904762,7.7,6.6
787-56-0757,84,Potatoes,80.36,4,16.072,337.512,321.44,4.761904762,16.072,8.3
360-39-5055,85,Potatoes,48.91,5,12.2275,256.7775,244.55,4.761904762,12.2275,6.6
730-50-9884,86,Potatoes,83.06,7,29.071,610.491,581.42,4.761904762,29.071,4
362-58-8315,87,Potatoes,76.52,5,19.13,401.73,382.6,4.761904762,19.13,9.9
633-44-8566,88,Potatoes,49.38,7,17.283,362.943,345.66,4.761904762,17.283,7.3
504-35-8843,89,Potatoes,42.47,1,2.1235,44.5935,42.47,4.761904762,2.1235,5.7
318-68-5053,90,Potatoes,76.99,6,23.097,485.037,461.94,4.761904762,23.097,6.1
565-80-5980,91,Potatoes,47.38,4,9.476,198.996,189.52,4.761904762,9.476,7.1
225-32-0908,92,Potatoes,44.86,10,22.43,471.03,448.6,4.761904762,22.43,8.2
873-51-0671,93,Potatoes,21.98,7,7.693,161.553,153.86,4.761904762,7.693,5.1
152-08-9985,94,Potatoes,64.36,9,28.962,608.202,579.24,4.761904762,28.962,8.6
512-91-0811,95,Potatoes,89.75,1,4.4875,94.2375,89.75,4.761904762,4.4875,6.6
594-34-4444,96,Potatoes,97.16,1,4.858,102.018,97.16,4.761904762,4.858,7.2
766-85-7061,97,Potatoes,87.87,10,43.935,922.635,878.7,4.761904762,43.935,5.1
871-39-9221,98,Potatoes,12.45,6,3.735,78.435,74.7,4.761904762,3.735,4.1
865-92-6136,99,Potatoes,52.75,3,7.9125,166.1625,158.25,4.761904762,7.9125,9.3
733-01-9107,100,Potatoes,82.7,6,24.81,521.01,496.2,4.761904762,24.81,7.4
163-56-7055,101,Potatoes,48.71,1,2.4355,51.1455,48.71,4.761904762,2.4355,4.1
189-98-2939,102,Potatoes,78.55,9,35.3475,742.2975,706.95,4.761904762,35.3475,7.2
551-21-3069,103,Potatoes,23.07,9,10.3815,218.0115,207.63,4.761904762,10.3815,4.9
212-62-1842,104,Potatoes,58.26,6,17.478,367.038,349.56,4.761904762,17.478,9.9
716-39-1409,105,Potatoes,30.35,7,10.6225,223.0725,212.45,4.761904762,10.6225,8
704-48-3927,106,Potatoes,88.67,10,44.335,931.035,886.7,4.761904762,44.335,7.3
628-34-3388,107,Potatoes,27.38,6,8.214,172.494,164.28,4.761904762,8.214,7.9
630-74-5166,108,Potatoes,62.13,6,18.639,391.419,372.78,4.761904762,18.639,7.4
588-01-7461,109,Potatoes,33.98,9,15.291,321.111,305.82,4.761904762,15.291,4.2
861-77-0145,110,Potatoes,81.97,10,40.985,860.685,819.7,4.761904762,40.985,9.2
479-26-8945,111,Potatoes,16.49,2,1.649,34.629,32.98,4.761904762,1.649,4.6
210-67-5886,112,Potatoes,98.21,3,14.7315,309.3615,294.63,4.761904762,14.7315,7.8
227-78-1148,113,Potatoes,72.84,7,25.494,535.374,509.88,4.761904762,25.494,8.4
645-44-1170,114,Potatoes,58.07,9,26.1315,548.7615,522.63,4.761904762,26.1315,4.3
237-01-6122,115,Potatoes,80.79,9,36.3555,763.4655,727.11,4.761904762,36.3555,9.5
225-98-1496,116,Potatoes,27.02,3,4.053,85.113,81.06,4.761904762,4.053,7.1
291-32-1427,117,Potatoes,21.94,5,5.485,115.185,109.7,4.761904762,5.485,5.3
659-65-8956,118,Potatoes,51.36,1,2.568,53.928,51.36,4.761904762,2.568,5.2
642-32-2990,119,Potatoes,10.96,10,5.48,115.08,109.6,4.761904762,5.48,6
378-24-2715,120,Potatoes,53.44,2,5.344,112.224,106.88,4.761904762,5.344,4.1
638-60-7125,121,Potatoes,99.56,8,39.824,836.304,796.48,4.761904762,39.824,5.2
659-36-1684,122,Potatoes,57.12,7,19.992,419.832,399.84,4.761904762,19.992,6.5
219-22-9386,123,Potatoes,99.96,9,44.982,944.622,899.64,4.761904762,44.982,4.2
336-78-2147,124,Potatoes,63.91,8,25.564,536.844,511.28,4.761904762,25.564,4.6
268-27-6179,125,Potatoes,56.47,8,22.588,474.348,451.76,4.761904762,22.588,7.3
668-90-8900,126,Potatoes,93.69,7,32.7915,688.6215,655.83,4.761904762,32.7915,4.5
870-54-3162,127,Potatoes,32.25,5,8.0625,169.3125,161.25,4.761904762,8.0625,9
189-08-9157,128,Potatoes,31.73,9,14.2785,299.8485,285.57,4.761904762,14.2785,5.9
663-86-9076,129,Potatoes,68.54,8,27.416,575.736,548.32,4.761904762,27.416,8.5
549-84-7482,130,Potatoes,90.28,9,40.626,853.146,812.52,4.761904762,40.626,7.2
191-10-6171,131,Potatoes,39.62,7,13.867,291.207,277.34,4.761904762,13.867,7.5
802-70-5316,132,Potatoes,92.13,6,27.639,580.419,552.78,4.761904762,27.639,8.3
695-51-0018,133,Potatoes,34.84,4,6.968,146.328,139.36,4.761904762,6.968,7.4
590-83-4591,134,Potatoes,87.45,6,26.235,550.935,524.7,4.761904762,26.235,8.8
483-71-1164,135,Potatoes,81.3,6,24.39,512.19,487.8,4.761904762,24.39,5.3
597-78-7908,136,Potatoes,90.22,3,13.533,284.193,270.66,4.761904762,13.533,6.2
700-81-1757,137,Potatoes,26.31,5,6.5775,138.1275,131.55,4.761904762,6.5775,8.8
354-39-5160,138,Potatoes,34.42,6,10.326,216.846,206.52,4.761904762,10.326,9.8
241-72-9525,139,Potatoes,51.91,10,25.955,545.055,519.1,4.761904762,25.955,8.2
575-30-8091,140,Potatoes,72.5,8,29,609,580,4.761904762,29,9.2
731-81-9469,141,Potatoes,89.8,10,44.9,942.9,898,4.761904762,44.9,5.4
280-17-4359,142,Potatoes,90.5,10,45.25,950.25,905,4.761904762,45.25,8.1
338-65-2210,143,Potatoes,68.6,10,34.3,720.3,686,4.761904762,34.3,9.1
488-25-4221,144,Potatoes,30.41,1,1.5205,31.9305,30.41,4.761904762,1.5205,8.4
239-10-7476,145,Potatoes,77.95,6,23.385,491.085,467.7,4.761904762,23.385,8
458-41-1477,146,Potatoes,46.26,6,13.878,291.438,277.56,4.761904762,13.878,9.5
685-64-1609,147,Potatoes,30.14,10,15.07,316.47,301.4,4.761904762,15.07,9.2
568-90-5112,148,Potatoes,66.14,4,13.228,277.788,264.56,4.761904762,13.228,5.6
262-47-2794,149,Potatoes,71.86,8,28.744,603.624,574.88,4.761904762,28.744,6.2
238-49-0436,150,Potatoes,32.46,8,12.984,272.664,259.68,4.761904762,12.984,4.9
608-96-3517,151,Potatoes,91.54,4,18.308,384.468,366.16,4.761904762,18.308,4.8
584-86-7256,152,Potatoes,34.56,7,12.096,254.016,241.92,4.761904762,12.096,7.3
746-94-0204,153,Potatoes,83.24,9,37.458,786.618,749.16,4.761904762,37.458,7.4
214-17-6927,154,Potatoes,16.48,6,4.944,103.824,98.88,4.761904762,4.944,9.9
400-89-4171,155,Potatoes,80.97,8,32.388,680.148,647.76,4.761904762,32.388,9.3
782-95-9291,156,Potatoes,92.29,5,23.0725,484.5225,461.45,4.761904762,23.0725,9
279-74-2924,157,Potatoes,72.17,1,3.6085,75.7785,72.17,4.761904762,3.6085,6.1
307-85-2293,158,Potatoes,50.28,5,12.57,263.97,251.4,4.761904762,12.57,9.7
743-04-1105,159,Potatoes,97.22,9,43.749,918.729,874.98,4.761904762,43.749,6
423-57-2993,160,Potatoes,93.39,6,28.017,588.357,560.34,4.761904762,28.017,10
894-41-5205,161,Potatoes,43.18,8,17.272,362.712,345.44,4.761904762,17.272,8.3
275-28-0149,162,Potatoes,63.69,1,3.1845,66.8745,63.69,4.761904762,3.1845,6
101-17-6199,163,Potatoes,45.79,7,16.0265,336.5565,320.53,4.761904762,16.0265,7
423-80-0988,164,Potatoes,76.4,2,7.64,160.44,152.8,4.761904762,7.64,6.5
548-46-9322,165,Potatoes,39.9,10,19.95,418.95,399,4.761904762,19.95,5.9
505-02-0892,166,Potatoes,42.57,8,17.028,357.588,340.56,4.761904762,17.028,5.6
234-65-2137,167,Potatoes,95.58,10,47.79,1003.59,955.8,4.761904762,47.79,4.8
687-47-8271,168,Potatoes,98.98,10,49.49,1039.29,989.8,4.761904762,49.49,8.7
796-32-9050,169,Potatoes,51.28,6,15.384,323.064,307.68,4.761904762,15.384,6.5
105-31-1824,170,Potatoes,69.52,7,24.332,510.972,486.64,4.761904762,24.332,8.5
249-42-3782,171,Potatoes,70.01,5,17.5025,367.5525,350.05,4.761904762,17.5025,5.5
316-55-4634,172,Potatoes,80.05,5,20.0125,420.2625,400.25,4.761904762,20.0125,9.4
733-33-4967,173,Potatoes,20.85,8,8.34,175.14,166.8,4.761904762,8.34,6.3
608-27-6295,174,Potatoes,52.89,6,15.867,333.207,317.34,4.761904762,15.867,9.8
414-12-7047,175,Potatoes,19.79,8,7.916,166.236,158.32,4.761904762,7.916,8.7
827-26-2100,176,Potatoes,33.84,9,15.228,319.788,304.56,4.761904762,15.228,8.8
175-54-2529,177,Potatoes,22.17,8,8.868,186.228,177.36,4.761904762,8.868,9.6
139-52-2867,178,Potatoes,22.51,7,7.8785,165.4485,157.57,4.761904762,7.8785,4.8
407-63-8975,179,Potatoes,73.88,6,22.164,465.444,443.28,4.761904762,22.164,4.4
342-65-4817,180,Potatoes,86.8,3,13.02,273.42,260.4,4.761904762,13.02,9.9
130-98-8941,181,Potatoes,64.26,7,22.491,472.311,449.82,4.761904762,22.491,5.7
434-83-9547,182,Potatoes,38.47,8,15.388,323.148,307.76,4.761904762,15.388,7.7
851-28-6367,183,Wheat,15.5,10,7.75,162.75,155,4.761904762,7.75,8
824-88-3614,184,Wheat,34.31,8,13.724,288.204,274.48,4.761904762,13.724,5.7
586-25-0848,185,Wheat,12.34,7,4.319,90.699,86.38,4.761904762,4.319,6.7
895-66-0685,186,Wheat,18.08,3,2.712,56.952,54.24,4.761904762,2.712,8
305-14-0245,187,Wheat,94.49,8,37.796,793.716,755.92,4.761904762,37.796,7.5
732-04-5373,188,Wheat,46.47,4,9.294,195.174,185.88,4.761904762,9.294,7
400-60-7251,189,Wheat,74.07,1,3.7035,77.7735,74.07,4.761904762,3.7035,9.9
593-65-1552,190,Wheat,69.81,4,13.962,293.202,279.24,4.761904762,13.962,5.9
284-34-9626,191,Wheat,77.04,3,11.556,242.676,231.12,4.761904762,11.556,7.2
437-58-8131,192,Wheat,73.52,2,7.352,154.392,147.04,4.761904762,7.352,4.6
286-43-6208,193,Wheat,87.8,9,39.51,829.71,790.2,4.761904762,39.51,9.2
641-43-2399,194,Wheat,25.55,4,5.11,107.31,102.2,4.761904762,5.11,5.7
831-07-6050,195,Wheat,32.71,5,8.1775,171.7275,163.55,4.761904762,8.1775,9.9
556-86-3144,196,Wheat,74.29,1,3.7145,78.0045,74.29,4.761904762,3.7145,5
848-24-9445,197,Wheat,43.7,2,4.37,91.77,87.4,4.761904762,4.37,4.9
856-22-8149,198,Wheat,25.29,1,1.2645,26.5545,25.29,4.761904762,1.2645,6.1
699-01-4164,199,Wheat,41.5,4,8.3,174.3,166,4.761904762,8.3,8.2
420-11-4919,200,Wheat,71.39,5,17.8475,374.7975,356.95,4.761904762,17.8475,5.5
606-80-4905,201,Wheat,19.15,6,5.745,120.645,114.9,4.761904762,5.745,6.8
542-41-0513,202,Wheat,57.49,4,11.498,241.458,229.96,4.761904762,11.498,6.6
426-39-2418,203,Wheat,61.41,7,21.4935,451.3635,429.87,4.761904762,21.4935,9.8
875-46-5808,204,Wheat,25.9,10,12.95,271.95,259,4.761904762,12.95,8.7
394-43-4238,205,Wheat,17.77,5,4.4425,93.2925,88.85,4.761904762,4.4425,5.4
749-24-1565,206,Wheat,23.03,9,10.3635,217.6335,207.27,4.761904762,10.3635,7.9
672-51-8681,207,Wheat,66.65,9,29.9925,629.8425,599.85,4.761904762,29.9925,9.7
263-87-5680,208,Wheat,28.53,10,14.265,299.565,285.3,4.761904762,14.265,7.8
573-58-9734,209,Wheat,30.37,3,4.5555,95.6655,91.11,4.761904762,4.5555,5.1
817-69-8206,210,Wheat,99.73,9,44.8785,942.4485,897.57,4.761904762,44.8785,6.5
888-02-0338,211,Wheat,26.23,9,11.8035,247.8735,236.07,4.761904762,11.8035,5.9
677-11-0152,212,Wheat,93.26,9,41.967,881.307,839.34,4.761904762,41.967,8.8
142-63-6033,213,Wheat,92.36,5,23.09,484.89,461.8,4.761904762,23.09,4.9
656-16-1063,214,Wheat,46.42,3,6.963,146.223,139.26,4.761904762,6.963,4.4
891-58-8335,215,Wheat,29.61,7,10.3635,217.6335,207.27,4.761904762,10.3635,6.5
802-43-8934,216,Wheat,18.28,1,0.914,19.194,18.28,4.761904762,0.914,8.3
560-30-5617,217,Wheat,24.77,5,6.1925,130.0425,123.85,4.761904762,6.1925,8.5
319-74-2561,218,Wheat,94.64,3,14.196,298.116,283.92,4.761904762,14.196,5.5
549-03-9315,219,Wheat,94.87,8,37.948,796.908,758.96,4.761904762,37.948,8.7
790-29-1172,220,Wheat,57.34,3,8.601,180.621,172.02,4.761904762,8.601,7.9
239-36-3640,221,Wheat,45.35,6,13.605,285.705,272.1,4.761904762,13.605,6.1
468-01-2051,222,Wheat,62.08,7,21.728,456.288,434.56,4.761904762,21.728,5.4
389-25-3394,223,Wheat,11.81,5,2.9525,62.0025,59.05,4.761904762,2.9525,9.4
279-62-1445,224,Wheat,12.54,1,0.627,13.167,12.54,4.761904762,0.627,8.2
213-72-6612,225,Wheat,43.25,2,4.325,90.825,86.5,4.761904762,4.325,6.2
746-68-6593,226,Wheat,87.16,2,8.716,183.036,174.32,4.761904762,8.716,9.7
836-82-5858,227,Wheat,69.37,9,31.2165,655.5465,624.33,4.761904762,31.2165,4
583-72-1480,228,Wheat,37.06,4,7.412,155.652,148.24,4.761904762,7.412,9.7
466-61-5506,229,Wheat,90.7,6,27.21,571.41,544.2,4.761904762,27.21,5.3
721-86-6247,230,Wheat,63.42,8,25.368,532.728,507.36,4.761904762,25.368,7.4
289-65-5721,231,Wheat,81.37,2,8.137,170.877,162.74,4.761904762,8.137,6.5
545-46-3100,232,Wheat,10.59,3,1.5885,33.3585,31.77,4.761904762,1.5885,8.7
418-02-5978,233,Wheat,84.09,9,37.8405,794.6505,756.81,4.761904762,37.8405,8
269-04-5750,234,Wheat,73.82,4,14.764,310.044,295.28,4.761904762,14.764,6.7
157-13-5295,235,Wheat,51.94,10,25.97,545.37,519.4,4.761904762,25.97,6.5
645-78-8093,236,Wheat,93.14,2,9.314,195.594,186.28,4.761904762,9.314,4.1
211-30-9270,237,Wheat,17.41,5,4.3525,91.4025,87.05,4.761904762,4.3525,4.9
755-12-3214,238,Wheat,44.22,5,11.055,232.155,221.1,4.761904762,11.055,8.6
346-84-3103,239,Wheat,13.22,5,3.305,69.405,66.1,4.761904762,3.305,4.3
478-06-7835,240,Wheat,89.69,1,4.4845,94.1745,89.69,4.761904762,4.4845,4.9
540-11-4336,241,Wheat,24.94,9,11.223,235.683,224.46,4.761904762,11.223,5.6
448-81-5016,242,Wheat,59.77,2,5.977,125.517,119.54,4.761904762,5.977,5.8
142-72-4741,243,Wheat,93.2,2,9.32,195.72,186.4,4.761904762,9.32,6
217-58-1179,244,Wheat,62.65,4,12.53,263.13,250.6,4.761904762,12.53,4.2
376-02-8238,245,Wheat,93.87,8,37.548,788.508,750.96,4.761904762,37.548,8.3
530-90-9855,246,Wheat,47.59,8,19.036,399.756,380.72,4.761904762,19.036,5.7
866-05-7563,247,Wheat,81.4,3,12.21,256.41,244.2,4.761904762,12.21,4.8
604-70-6476,248,Wheat,17.94,5,4.485,94.185,89.7,4.761904762,4.485,6.8
799-71-1548,249,Wheat,77.72,4,15.544,326.424,310.88,4.761904762,15.544,8.8
785-13-7708,250,Wheat,73.06,7,25.571,536.991,511.42,4.761904762,25.571,4.2
845-51-0542,251,Wheat,46.55,9,20.9475,439.8975,418.95,4.761904762,20.9475,6.4
662-47-5456,252,Wheat,35.19,10,17.595,369.495,351.9,4.761904762,17.595,8.4
883-17-4236,253,Wheat,14.39,2,1.439,30.219,28.78,4.761904762,1.439,7.2
290-68-2984,254,Wheat,23.75,4,4.75,99.75,95,4.761904762,4.75,5.2
704-11-6354,255,Wheat,58.9,8,23.56,494.76,471.2,4.761904762,23.56,8.9
110-48-7033,256,Wheat,32.62,4,6.524,137.004,130.48,4.761904762,6.524,9
366-93-0948,257,Wheat,66.35,1,3.3175,69.6675,66.35,4.761904762,3.3175,9.7
729-09-9681,258,Wheat,25.91,6,7.773,163.233,155.46,4.761904762,7.773,8.7
151-16-1484,259,Wheat,32.25,4,6.45,135.45,129,4.761904762,6.45,6.5
380-94-4661,260,Wheat,65.94,4,13.188,276.948,263.76,4.761904762,13.188,6.9
850-41-9669,261,Wheat,75.06,9,33.777,709.317,675.54,4.761904762,33.777,6.2
821-07-3596,262,Wheat,16.45,4,3.29,69.09,65.8,4.761904762,3.29,5.6
655-85-5130,263,Wheat,38.3,4,7.66,160.86,153.2,4.761904762,7.66,5.7
447-15-7839,264,Wheat,22.24,10,11.12,233.52,222.4,4.761904762,11.12,4.2
154-74-7179,265,Wheat,54.45,1,2.7225,57.1725,54.45,4.761904762,2.7225,7.9
253-12-6086,266,Wheat,98.4,7,34.44,723.24,688.8,4.761904762,34.44,8.7
808-65-0703,267,Wheat,35.47,4,7.094,148.974,141.88,4.761904762,7.094,6.9
571-94-0759,268,Wheat,74.6,10,37.3,783.3,746,4.761904762,37.3,9.5
144-51-6085,269,Wheat,70.74,4,14.148,297.108,282.96,4.761904762,14.148,4.4
731-14-2199,270,Wheat,35.54,10,17.77,373.17,355.4,4.761904762,17.77,7
783-09-1637,271,Wheat,67.43,5,16.8575,354.0075,337.15,4.761904762,16.8575,6.3
687-15-1097,272,Wheat,21.12,2,2.112,44.352,42.24,4.761904762,2.112,9.7
126-54-1082,273,Wheat,21.54,9,9.693,203.553,193.86,4.761904762,9.693,8.8
633-91-1052,274,Wheat,12.03,2,1.203,25.263,24.06,4.761904762,1.203,5.1
477-24-6490,275,Wheat,99.71,6,29.913,628.173,598.26,4.761904762,29.913,7.9
566-19-5475,276,Wheat,47.97,7,16.7895,352.5795,335.79,4.761904762,16.7895,6.2
526-86-8552,277,Wheat,21.82,10,10.91,229.11,218.2,4.761904762,10.91,7.1
376-56-3573,278,Wheat,95.42,4,19.084,400.764,381.68,4.761904762,19.084,6.4
537-72-0426,279,Wheat,70.99,10,35.495,745.395,709.9,4.761904762,35.495,5.7
828-61-5674,280,Wheat,44.02,10,22.01,462.21,440.2,4.761904762,22.01,9.6
136-08-6195,281,Wheat,69.96,8,27.984,587.664,559.68,4.761904762,27.984,6.4
523-38-0215,282,Wheat,37,1,1.85,38.85,37,4.761904762,1.85,7.9
490-29-1201,283,Wheat,15.34,1,0.767,16.107,15.34,4.761904762,0.767,6.5
667-92-0055,284,Wheat,99.83,6,29.949,628.929,598.98,4.761904762,29.949,8.5
565-17-3836,285,Wheat,47.67,4,9.534,200.214,190.68,4.761904762,9.534,9.1
498-41-1961,286,Wheat,66.68,5,16.67,350.07,333.4,4.761904762,16.67,7.6
593-95-4461,287,Wheat,74.86,1,3.743,78.603,74.86,4.761904762,3.743,6.9
226-71-3580,288,Wheat,23.75,9,10.6875,224.4375,213.75,4.761904762,10.6875,9.5
283-79-9594,289,Wheat,48.51,7,16.9785,356.5485,339.57,4.761904762,16.9785,5.2
430-60-3493,290,Wheat,94.88,7,33.208,697.368,664.16,4.761904762,33.208,4.2
139-20-0155,291,Wheat,40.3,10,20.15,423.15,403,4.761904762,20.15,7
558-80-4082,292,Wheat,27.85,7,9.7475,204.6975,194.95,4.761904762,9.7475,6
278-97-7759,293,Wheat,62.48,1,3.124,65.604,62.48,4.761904762,3.124,4.7
316-68-6352,294,Wheat,36.36,2,3.636,76.356,72.72,4.761904762,3.636,7.1
585-03-5943,295,Wheat,18.11,10,9.055,190.155,181.1,4.761904762,9.055,5.9
